Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,Expected xA,Expected A-xAG,KP,1/3,PPA,CrsPA,PrgP
1,Ignazio Abate,ITA,DF,Milan,31,1986,14.5,763,925,82.5,13052,4961,352,375,93.9,342,403,84.9,60,114,52.6,0,0.4,0.6,-0.4,7,69,11,5,88
2,Francesco Acerbi,ITA,DF,Lazio,30,1988,36.8,1560,1800,86.7,30496,11601,547,598,91.5,765,828,92.4,216,313,69.0,1,1.0,0.6,0.0,10,111,7,1,135
3,Afriyie Acquah,GHA,MF,Empoli,26,1992,16.8,580,738,78.6,8818,2290,319,355,89.9,218,266,82.0,30,62,48.4,0,0.8,0.8,-0.8,11,66,12,3,91
4,Claud Adjapong,ITA,MF|FW,Sassuolo,20,1998,3.0,74,101,73.3,1068,286,41,52,78.8,25,30,83.3,3,4,75.0,0,0.1,0.0,-0.1,2,1,2,0,4
5,Ali Adnan Kadhim,IRQ,DF,Atalanta,24,1993,1.8,77,117,65.8,1301,457,45,54,83.3,23,35,65.7,7,19,36.8,0,0.1,0.1,-0.1,3,5,1,1,8
6,Emmanuel Agyemang-Badu,GHA,MF,Udinese,27,1990,1.8,27,35,77.1,429,42,19,22,86.4,4,5,80.0,4,4,100.0,0,0.0,0.0,0.0,1,0,0,0,1
7,Ola Aina,NGA,DF,Torino,21,1996,24.0,861,1178,73.1,13729,5830,465,525,88.6,268,395,67.8,88,159,55.3,3,2.5,2.2,+0.5,25,53,30,11,97
8,Luis Alberto,ESP,MF|FW,Lazio,25,1992,22.1,1115,1487,75.0,17984,6331,591,659,89.7,325,411,79.1,129,274,47.1,5,5.9,5.5,-0.9,76,136,54,7,200
9,Raúl Albiol,ESP,DF,Napoli,32,1985,19.0,1009,1131,89.2,22510,7869,250,260,96.2,545,591,92.2,205,258,79.5,0,0.4,0.7,-0.4,5,68,3,2,81
10,Allan,BRA,MF,Napoli,27,1991,29.1,1979,2231,88.7,31900,9338,1018,1089,93.5,733,795,92.2,165,211,78.2,3,2.5,2.9,+0.5,34,255,30,4,236
11,Bruno Alves,POR,DF,Parma,36,1981,32.5,962,1245,77.3,22775,9654,221,260,85.0,505,592,85.3,232,360,64.4,1,1.0,1.1,0.0,10,57,3,2,72
12,Joachim Andersen,DEN,DF,Sampdoria,22,1996,32.0,1804,2036,88.6,36128,13003,598,644,92.9,937,1000,93.7,254,359,70.8,1,0.7,0.5,+0.3,8,139,5,0,154
13,Marco Andreolli,ITA,DF,Cagliari,32,1986,1.2,65,72,90.3,1466,501,9,9,100.0,45,47,95.7,11,15,73.3,0,0.0,0.0,0.0,0,1,0,0,6
14,Marco Andreolli,ITA,DF,Chievo,32,1986,7.2,194,250,77.6,4049,1349,55,64,85.9,111,126,88.1,28,55,50.9,0,0.0,0.0,0.0,0,8,0,0,8
15,Cristian Ansaldi,ARG,DF|MF,Torino,31,1986,20.1,574,888,64.6,10975,4452,268,307,87.3,192,307,62.5,93,212,43.9,2,2.9,2.4,-0.9,35,53,47,30,93
16,Mirco Antenucci,ITA,FW,SPAL,33,1984,23.7,410,541,75.8,5440,1025,252,299,84.3,114,153,74.5,14,21,66.7,0,1.6,1.0,-1.6,23,31,11,2,50
17,Luca Antonelli,ITA,DF,Empoli,31,1987,8.4,271,381,71.1,4089,1699,148,166,89.2,106,153,69.3,10,34,29.4,1,0.7,0.9,+0.3,7,25,8,0,39
18,Mauro Antonio Burruchaga,ARG,MF,Chievo,20,1998,0.6,31,39,79.5,435,179,19,22,86.4,10,12,83.3,2,3,66.7,0,0.0,0.0,0.0,0,2,0,0,3
19,Joaquín Ardaiz,URU,FW,Frosinone,19,1999,0.2,2,5,40.0,17,0,2,4,50.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0
20,Lorenzo Ariaudo,ITA,DF,Frosinone,29,1989,18.7,528,639,82.6,10727,4113,146,165,88.5,303,339,89.4,71,121,58.7,0,0.3,0.2,-0.3,4,29,1,0,36
21,Nicolò Armini,ITA,DF,Lazio,17,2001,0.4,20,25,80.0,400,182,7,9,77.8,11,13,84.6,2,3,66.7,0,0.0,0.0,0.0,0,2,1,0,2
22,Kwadwo Asamoah,GHA,DF,Inter,29,1988,29.7,1927,2217,86.9,30664,8604,1083,1146,94.5,623,741,84.1,169,232,72.8,1,1.8,2.7,-0.8,32,171,40,13,189
23,Emil Audero,ITA,GK,Sampdoria,21,1997,36.0,868,1161,74.8,21390,14960,207,208,99.5,437,443,98.6,220,500,44.0,0,0.1,0.0,-0.1,2,1,0,0,0
24,Khouma Babacar,SEN,FW,Sassuolo,25,1993,16.5,249,306,81.4,3298,396,158,182,86.8,62,72,86.1,12,14,85.7,2,0.9,0.5,+1.1,11,6,12,1,24
25,Milan Badelj,CRO,MF,Lazio,29,1989,12.7,743,879,84.5,12498,4299,353,401,88.0,284,316,89.9,76,106,71.7,0,0.5,0.7,-0.5,10,75,12,4,101
26,Tiemoué Bakayoko,FRA,MF,Milan,23,1994,25.6,1151,1335,86.2,18367,5725,584,655,89.2,461,514,89.7,73,97,75.3,1,1.6,1.6,-0.6,25,115,14,1,156
27,Keita Baldé,SEN,FW,Inter,23,1995,9.9,256,340,75.3,3416,578,164,182,90.1,62,82,75.6,13,29,44.8,2,2.2,2.3,-0.2,22,11,17,10,27
28,Andrija Balić,CRO,FW|MF,Udinese,20,1997,0.3,25,26,96.2,389,87,15,15,100.0,3,3,100.0,4,5,80.0,0,0.1,0.0,-0.1,1,0,1,0,3
29,Mattia Bani,ITA,DF,Chievo,24,1993,29.0,1026,1278,80.3,20395,8223,346,394,87.8,514,583,88.2,145,252,57.5,0,0.8,0.3,-0.8,4,53,3,1,63
30,Antonín Barák,CZE,MF|FW,Udinese,23,1994,3.7,148,181,81.8,1969,421,84,99,84.8,47,52,90.4,2,10,20.0,0,0.2,0.1,-0.2,2,12,1,0,11
31,Federico Barba,ITA,DF,Chievo,24,1993,27.6,1007,1280,78.7,18800,7708,400,451,88.7,467,555,84.1,119,229,52.0,0,1.6,1.2,-1.6,11,80,18,4,106
32,Francesco Bardi,ITA,GK,Frosinone,26,1992,3.0,45,74,60.8,1293,1067,7,7,100.0,21,21,100.0,16,45,35.6,0,0.0,0.0,0.0,0,1,0,0,0
33,Nicolò Barella,ITA,MF,Cagliari,21,1997,34.5,1518,1923,78.9,24926,6737,788,893,88.2,498,604,82.5,160,270,59.3,3,3.1,4.0,-0.1,43,154,44,13,206
34,Antonino Barillà,ITA,MF,Parma,30,1988,29.1,569,821,69.3,8704,3192,324,390,83.1,165,234,70.5,51,117,43.6,2,1.9,1.1,+0.1,20,89,12,2,93
35,Édgar Barreto,PAR,MF,Sampdoria,34,1984,8.7,391,500,78.2,5591,1945,236,270,87.4,109,136,80.1,22,47,46.8,2,1.6,1.7,+0.4,10,38,13,1,55
36,Musa Barrow,GAM,FW,Atalanta,19,1998,6.7,183,238,76.9,2566,423,113,131,86.3,54,71,76.1,9,16,56.3,2,1.4,0.7,+0.6,16,9,9,1,25
