Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard Gls,Standard Sh,Standard SoT,Standard SoT%,Standard Sh/90,Standard SoT/90,Standard G/Sh,Standard G/SoT,Standard Dist,Standard FK,Standard PK,Standard PKatt,Expected xG,Expected npxG,Expected npxG/Sh,Expected G-xG,Expected np:G-xG
1,Gennaro Acampora,ITA,MF|FW,Spezia,26,1994,4.9,0,9,0,0.0,1.84,0.00,0.00,,25.8,1,0,0,0.3,0.3,0.03,-0.3,-0.3
2,Francesco Acerbi,ITA,DF,Lazio,32,1988,31.3,0,9,0,0.0,0.29,0.00,0.00,,13.1,0,0,0,1.1,1.1,0.12,-1.1,-1.1
3,Andrea Adorante,ITA,FW,Parma,20,2000,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
4,Lucien Agoume,FRA,MF,Spezia,18,2002,8.9,0,2,0,0.0,0.23,0.00,0.00,,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
5,Kevin Agudelo,COL,FW,Spezia,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.2,0,0,0,1.5,1.5,0.08,-0.5,-0.5
6,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,27,1992,11.7,0,12,1,8.3,1.02,0.09,0.00,0.00,16.6,0,0,0,1.2,1.2,0.10,-1.2,-1.2
7,Luis Alberto,ESP,MF,Lazio,27,1992,29.1,9,69,29,42.0,2.37,1.00,0.13,0.31,21.3,3,0,0,5.1,5.0,0.07,+3.9,+4.0
8,Bruno Alves,POR,DF,Parma,38,1981,18.1,1,10,3,30.0,0.55,0.17,0.10,0.33,23.5,3,0,0,0.4,0.4,0.04,+0.6,+0.6
9,Wisdom Amey,ITA,DF,Bologna,14,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
10,Sofyan Amrabat,MAR,MF,Fiorentina,23,1996,27.1,0,10,3,30.0,0.37,0.11,0.00,0.00,21.0,0,0,0,0.4,0.4,0.04,-0.4,-0.4
11,Djavan Anderson,NED,DF,Lazio,25,1995,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
12,Nícolas Andrade,BRA,GK,Udinese,32,1988,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
13,Davide Angelo Ghislandi,ITA,DF,Atalanta,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
14,Philip Ankhrah,GHA,MF,Hellas Verona,17,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
15,Cristian Ansaldi,ARG,DF|FW,Torino,33,1986,21.6,1,17,6,35.3,0.79,0.28,0.00,0.00,23.5,4,1,1,1.9,1.1,0.07,-0.9,-1.1
16,Valentin Antov,BUL,DF,Bologna,19,2000,2.6,0,1,0,0.0,0.39,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0
17,Nicolò Armini,ITA,DF,Lazio,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
18,Tolgay Arslan,GER,MF,Udinese,29,1990,20.2,3,22,6,27.3,1.09,0.30,0.14,0.50,21.5,0,0,0,0.9,0.9,0.04,+2.1,+2.1
19,Kwadwo Asamoah,GHA,DF|MF,Cagliari,31,1988,2.5,0,2,1,50.0,0.80,0.40,0.00,0.00,23.1,0,0,0,0.1,0.1,0.04,-0.1,-0.1
20,Kristoffer Askildsen,NOR,MF,Sampdoria,19,2001,1.1,0,1,0,0.0,0.95,0.00,0.00,,24.4,0,0,0,0.0,0.0,0.03,0.0,0.0
21,Emil Audero,ITA,GK,Sampdoria,23,1997,37.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
22,Tommaso Augello,ITA,DF,Sampdoria,25,1994,35.7,1,8,2,25.0,0.22,0.06,0.13,0.50,19.3,0,0,0,0.3,0.3,0.04,+0.7,+0.7
23,Kaan Ayhan,TUR,DF,Sassuolo,25,1994,8.8,0,5,0,0.0,0.57,0.00,0.00,,16.6,2,0,0,0.5,0.5,0.10,-0.5,-0.5
24,Milan Badelj,CRO,MF,Genoa,31,1989,26.8,1,17,4,23.5,0.64,0.15,0.06,0.25,25.3,0,0,0,0.8,0.8,0.05,+0.2,+0.2
25,Tiemoué Bakayoko,FRA,MF,Napoli,25,1994,21.8,2,16,4,25.0,0.73,0.18,0.13,0.50,18.0,0,0,0,1.1,1.1,0.07,+0.9,+0.9
26,Keita Baldé,SEN,FW,Sampdoria,25,1995,13.3,7,44,19,43.2,3.31,1.43,0.16,0.37,13.9,0,0,0,5.7,5.7,0.13,+1.3,+1.3
27,Botond Balogh,HUN,DF,Parma,18,2002,1.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0
28,Mattia Bani,ITA,DF,Genoa,26,1993,10.2,0,5,1,20.0,0.49,0.10,0.00,0.00,10.0,0,0,0,0.6,0.6,0.11,-0.6,-0.6
